"dist","yield (kg/acre)","acres","planting fam lab child (pers-hrs/acre)","seed (kg/acre)","Total CAN fert (kg/acre)","Total NPK fert (kg/acre)","Total UREA fert (kg/acre)","dap (kg/acre)","Total P&D chem (kg/acre)","adopter","tenure: owned with title deed","landprep: oxen","landprep: tractor","aehh07","Rain anomaly","Cstar","dap (KES/acre)","Total CAN fert (KES/acre)","Total NPK fert (KES/acre)","Total UREA fert (KES/acre)","Total P&D chem (KES/acre)","Rstar","dap (KES/kg)","Total CAN fert (KES/kg)","Total NPK fert (KES/kg)","Total UREA fert (KES/kg)","Total P&D chem (KES/kg)","harvesting (KES/hour)","P"
"Kisii","7.07107238984839","0","0","2.30258509299405","3.68887945411394","0","0","3.91202300542815","0","1","1","1","0","0.669537314920811","0.30235245008898","8.30028018985266","1800","1400","0","0","0","9.66133955529422","36","35","0","0","0",NA,"13.3333333333333"
"Kisii","6.12558014405193","0","0","2.07944154167984","3.2188758248682","0","0","3.2188758248682","-2.30258509299405","1","0","0","0","1.29198368164865","0.30235245008898","7.14282740116162","1000","875","0","0","150","8.71584730949775","40","35","0","0","1500",NA,"13.3333333333333"
"Kisii","6.41326221650371","-0.287682072451781","0","2.07944154167984","0","0","0","4.19970507787993","-1.32175583998232","1","1","0","0","1.95727390770563","0.30235245008898","6.17378610390194","2400","0","0","0","160","9.00352938194953","36","0","0","0","600",NA,"13.3333333333333"
"Kisii","6.35982470226291","0","1.09861228866811","2.39789527279837","0","0","0","3.23474917402449","0","1","0","0","0","1.708377860289","0.30235245008898","5.48063892334199","1025","0","0","0","0","8.95009186770873","121.176470588235","0","0","0","0",NA,"13.3333333333333"
"Kisii","5.94325858725797","-1.20397280432594","4.19970507787993","2.30258509299405","0","0","0","2.30258509299405","0","1","1","0","0","-0.301105092783922","0.323766670306589","6.03228654162824","400","0","0","0","0","8.5335257527038","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.03793953331997","1.38629436111989","0","2.27726728500976","3.2188758248682","0","0","3.2188758248682","-1.38629436111989","1","0","0","0","1.92861865194525","0.30235245008898","8.98719682066197","900","790","0","0","140","8.6282066987658","72","63.2","0","0","560","6.25","13.3333333333333"
"Kisii","6.65247585763786","-1.20397280432594","0","2.30258509299405","2.59026716544583","0","0","2.99573227355399","0","1","0","0","0","1.05779029414785","0.30235245008898","6.76465443534146","800","466.666666666667","0","0","0","9.24274302308368","40","35","0","0","0",NA,"13.3333333333333"
"Kisii","6.63640576781792","-0.510825623765991","0","2.30258509299405","0","0","3.50655789731998","0","0","1","0","0","0","1.75785791755237","0.30235245008898","7.23825734861685","0","0","0","1166.66666666667","0","9.22667293326374","0","0","0","35","0",NA,"13.3333333333333"
"Kisii","6.75973079563481","0","0","2.07944154167984","0","0","0","3.55534806148941","0","1","0","0","0","2.04122032885964","0.30235245008898","6.67203294546107","1400","0","0","0","0","9.34999796108064","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.07107238984839","0","0","2.30258509299405","3.91202300542815","0","0","3.91202300542815","0.693147180559945","1","0","0","0","1.84054963339749","0.30235245008898","8.48260174664662","1800","1580","0","0","2000","9.66133955529422","36","31.6","0","0","1000","6.25","13.3333333333333"
