"","symbol","date","open","high","low","close","volume","adjusted"
"697","ZC=F",2016-06-06,419.75,427.5,419.25,427.25,223124,427.25
"698","ZC=F",2016-06-07,426.25,428,422.5,427.75,273076,427.75
"699","ZC=F",2016-06-08,427.25,439.25,426.5,431.25,342762,431.25
"700","ZC=F",2016-06-09,430.25,430.25,423.25,426.5,262525,426.5
"701","ZC=F",2016-06-10,426.5,437,420,423,291065,423
"702","ZC=F",2016-06-13,427.5,438,427.5,430,304087,430
"703","ZC=F",2016-06-14,429.5,436.75,423.5,436.5,236330,436.5
"704","ZC=F",2016-06-15,435.75,439,428.5,429,186442,429
"705","ZC=F",2016-06-16,426.25,429.75,420.5,425.25,196401,425.25
"706","ZC=F",2016-06-17,425,438.25,423.5,437.75,179118,437.75
"707","ZC=F",2016-06-20,435.5,435.75,420.5,421.25,204937,421.25
"708","ZC=F",2016-06-21,420.5,422.25,396.25,396.25,292416,396.25
"709","ZC=F",2016-06-22,396.5,401,392.25,393,211875,393
"710","ZC=F",2016-06-23,392,392.75,384,387.25,164756,387.25
"711","ZC=F",2016-06-24,387.5,390,373.5,384.5,180562,384.5
"712","ZC=F",2016-06-27,384.25,392,383,385.25,123573,385.25
"713","ZC=F",2016-06-28,383,398.25,382.5,385.25,121380,385.25
"714","ZC=F",2016-06-29,385.5,387.25,372.25,372.75,99434,372.75
"715","ZC=F",2016-06-30,375,377.5,355.75,358.75,37491,358.75
"716","ZC=F",2016-07-01,360.75,361.5,352,353,6927,353
"717","ZC=F",2016-07-05,348,350.5,333.75,344,4788,344
"718","ZC=F",2016-07-06,344.75,346.5,333,335.75,4287,335.75
"719","ZC=F",2016-07-07,338.5,348,334.5,335.5,2550,335.5
"720","ZC=F",2016-07-08,337.25,349.75,336.75,349.75,1160,349.75
"721","ZC=F",2016-07-11,354.25,354.75,341.75,343.75,1164,343.75
"722","ZC=F",2016-07-12,343,350.25,339.75,349.75,388,349.75
"723","ZC=F",2016-07-13,353,372.75,348.5,365.75,673,365.75
"724","ZC=F",2016-07-14,369.5,374.5,360,362.25,108690,362.25
"725","ZC=F",2016-07-15,356.5,361,343,352.25,104622,352.25
"726","ZC=F",2016-07-18,352.25,357.5,348.25,357,84620,357
"727","ZC=F",2016-07-19,356.5,356.5,341.5,341.75,88392,341.75
"728","ZC=F",2016-07-20,344.25,346.5,335,337.5,111929,337.5
"729","ZC=F",2016-07-21,337.75,341.75,332.75,334.25,92502,334.25
"730","ZC=F",2016-07-22,334.5,336.75,326.75,335,101545,335
"731","ZC=F",2016-07-25,335,338.25,330.25,334.75,92724,334.75
"732","ZC=F",2016-07-26,333.5,336.5,331,332.5,95060,332.5
